latitude,longitude,depth,mag,gap,dmin,rms,horizontalError,depthError,magError,meter
-8.1589,117.9767,197.06,4.7,37,3.587,0.98,6.8,5.8,0.062,79
-1.1789,119.9614,10,4.9,51,2.418,0.81,5,1.9,0.081,48
-1.2116,119.9674,18.88,5,62,2.446,0.77,6.2,4.3,0.071,63
2.2731,126.9931,42.13,4.4,175,1.537,1.39,8,12.7,0.17,10
5.6155,124.768,337.61,4.6,90,1.654,1.12,8.7,7.3,0.053,108
-7.1251,125.8067,487.56,4.3,42,3.024,0.8,14.4,11,0.129,17
-7.6573,127.6423,172.33,4.3,64,3.637,1.41,8.4,11.2,0.161,11
5.6331,127.0837,147.75,4.2,125,2.067,0.98,12.1,9.8,0.113,22
-8.2352,121.9859,212.81,4.1,257,0.469,0.52,9.5,9.3,0.158,11
-10.6303,120.346,35,4.1,79,2.721,1.6,9.2,2,0.146,13
1.1079,126.1184,10,4.5,81,1.292,0.81,8.3,1.9,0.156,12
2.4607,122.8527,466.19,4.4,81,2.466,0.83,13.5,10.8,0.107,25
-10.4745,120.1982,35,4.5,83,2.717,1.12,7.3,2,0.103,28
0.4157,124.4387,88.65,5.3,26,2.207,1.16,6.8,4.4,0.051,128
7.0608,127.0761,10,4.7,135,1.485,0.66,12.1,1.9,0.1,30
2.2806,96.5356,36.95,4.3,197,1.421,0.37,9.2,10.7,0.178,9
-3.6709,101.5643,39.82,4.5,196,1.547,0.54,10.7,10.8,0.271,5
-9.9031,112.938,35,4.7,114,1.861,0.86,7.3,2,0.094,34
-7.3371,126.7684,333.73,4.4,87,3.448,0.79,9.8,13.4,0.202,7
1.4227,96.9052,10,4.4,99,0.68,0.96,4.2,1.9,0.115,22
1.3731,96.9813,17.44,5.1,29,0.598,0.83,5.6,1.1,0.089,12
2.4404,128.1412,5.72,4.3,101,1.829,0.92,6.8,4.8,0.154,12
2.0176,97.3738,56.87,4,154,0.737,0.96,8.4,13,0.173,9
5.8813,126.036,90.37,4.9,58,1.265,0.67,7.6,7,0.068,68
4.7668,127.577,125.73,4.4,97,3.974,0.46,6,9.3,0.069,60
3,125.9216,10,4.5,79,2.642,0.93,8.5,1.9,0.128,18
1.8105,127.4506,102.16,4.7,84,1.035,0.83,3.5,8.5,0.093,35
0.4776,126.8121,67.16,4.1,96,0.626,0.85,7.2,7.6,0.145,13
3.2618,124.5489,319.12,4,101,3.747,0.52,12.2,10.7,0.13,16
2.3611,128.2411,10,4.6,110,1.804,0.89,5,1.9,0.102,29
5.7288,126.2965,144.65,4.4,101,1.511,0.6,12,10,0.093,33
2.9926,122.465,547.7,4.2,79,2.514,0.56,12.3,9.3,0.096,30
-0.2484,125.0552,52.16,4.4,52,2.415,0.75,2.8,8.7,0.131,21
2.3379,128.1935,10,5,77,1.761,0.91,7.3,1.8,0.066,73
2.4534,128.2732,10,4.8,69,1.9,0.67,8.8,1.9,0.07,63
2.3953,128.0865,10,4.4,120,1.765,0.61,7.9,1.9,0.139,15
2.536,128.2293,11.89,4.4,117,1.953,0.53,5.3,5,0.105,26
-1.0605,120.3419,10,4.3,81,2.201,0.87,3.8,1.9,0.2,7
2.5062,128.3077,12.13,4.6,116,1.962,0.55,8.4,4.9,0.099,30
2.321,128.1321,21.71,5,70,1.718,0.81,4.1,4.9,0.06,88
2.3972,128.1485,14.88,5.4,34,1.793,0.8,7.1,3.3,0.069,20
2.4123,128.2336,10,4.6,117,1.845,1.22,8.3,1.9,0.164,11
2.4648,128.1481,8,5.8,69,1.854,1.16,4.5,1.8,0.056,31
-5.0245,103.3966,63.88,4.4,138,0.792,0.86,14.1,8.2,0.123,19
-0.3737,122.1711,37.97,4.7,54,0.895,0.68,5.8,7.6,0.093,35
-0.1033,123.8794,113.17,4.7,42,1.447,1.01,7.1,6.6,0.069,63
4.2295,126.0849,127.16,4.8,133,2.866,0.98,8.1,9.9,0.16,13
-7.545,107.2823,111.39,4.4,97,0.789,0.66,3,6.5,0.117,21
-8.6011,115.2464,117.02,4.1,93,1.09,0.79,10.2,7.3,0.157,11
-8.2196,118.8126,169.3,4.7,70,3.318,1.08,7.5,7.6,0.108,26
-3.7684,126.031,11.39,4.6,61,4.235,1.31,6.6,6.4,0.146,14
5.232,124.7329,368.26,4.6,77,5.152,0.73,10.6,9.1,0.081,45
-2.3324,101.7019,105.05,4.4,73,2.371,0.83,7.6,7.2,0.097,31
0.0969,127.3529,152.32,4.6,125,9.133,0.47,11.8,9.9,0.136,16
-7.3713,127.7046,37.39,4.2,81,3.613,0.91,13.2,14.7,0.374,2
-7.5451,127.5089,160.98,4.2,64,3.78,0.81,9.6,9.2,0.16,11
-7.9463,117.3807,10,4.7,69,3.238,1.04,7.1,1.9,0.097,32
-9.2812,106.634,10,4.3,100,1.535,1.36,6.2,1.9,0.266,4
2.813,98.9588,159.15,4.3,80,0.123,0.55,7.6,4.2,0.109,24
-8.1362,107.9169,71.04,4.2,69,2.59,0.78,5.9,8.9,0.152,12
